x        y        z        latitude        longitude         altitude         
49.27535919  32.79376350  86.56000000  39.47239176  115.62527544  86.56000000  
49.09010941  32.66337507  86.54000000  39.47239056  115.62527331  86.54000000  
48.91115178  32.55065259  86.53000000  39.47238952  115.62527125  86.53000000  
48.74158838  32.43334632  86.54000000  39.47238844  115.62526930  86.54000000  
48.55829599  32.31846974  86.54000000  39.47238738  115.62526719  86.54000000  
48.36267325  32.18490920  86.54000000  39.47238615  115.62526494  86.54000000  
48.19488098  32.07090629  86.54000000  39.47238510  115.62526301  86.54000000  
48.01836840  31.94926556  86.56000000  39.47238398  115.62526098  86.56000000  
47.81756764  31.81467392  86.57000000  39.47238274  115.62525867  86.57000000  
47.61508038  31.68232825  86.56000000  39.47238152  115.62525634  86.56000000  
47.40458060  31.53234289  86.56000000  39.47238014  115.62525392  86.56000000  
47.16721209  31.36944599  86.58000000  39.47237864  115.62525119  86.58000000  
46.99948752  31.25988254  86.58000000  39.47237763  115.62524926  86.58000000  
46.78831378  31.12211881  86.58000000  39.47237636  115.62524683  86.58000000  
46.60658929  30.99722726  86.57000000  39.47237521  115.62524474  86.57000000  
46.43786907  30.87879805  86.57000000  39.47237412  115.62524280  86.57000000  
46.18397088  30.70394202  86.58000000  39.47237251  115.62523988  86.58000000  
45.95970818  30.55416667  86.60000000  39.47237113  115.62523730  86.60000000  
45.74426738  30.41868830  86.60000000  39.47236988  115.62523482  86.60000000  
45.56955974  30.30257070  86.60000000  39.47236881  115.62523281  86.60000000  
45.34953019  30.14829029  86.61000000  39.47236739  115.62523028  86.61000000  
45.17126330  30.02445615  86.62000000  39.47236625  115.62522823  86.62000000  
44.94524634  29.87248734  86.63000000  39.47236485  115.62522563  86.63000000  
44.74351756  29.73346945  86.65000000  39.47236357  115.62522331  86.65000000  
44.54269976  29.59776802  86.66000000  39.47236232  115.62522100  86.66000000  
44.32619554  29.44898447  86.67000000  39.47236095  115.62521851  86.67000000  
44.12888616  29.31767002  86.67000000  39.47235974  115.62521624  86.67000000  
43.90558516  29.17454077  86.67000000  39.47235842  115.62521367  86.67000000  
43.70996225  29.04098036  86.68000000  39.47235719  115.62521142  86.68000000  
43.49516143  28.89106072  86.68000000  39.47235581  115.62520895  86.68000000  
43.27870797  28.74560678  86.68000000  39.47235447  115.62520646  86.68000000  
43.08657656  28.61532347  86.69000000  39.47235327  115.62520425  86.69000000  
42.89358496  28.48505330  86.69000000  39.47235207  115.62520203  86.69000000  
42.69975011  28.35590611  86.68000000  39.47235088  115.62519980  86.68000000  
42.50080499  28.23016726  86.68000000  39.47234972  115.62519751  86.68000000  
42.28600411  28.08024765  86.68000000  39.47234834  115.62519504  86.68000000  
42.07634737  27.92913944  86.68000000  39.47234695  115.62519263  86.68000000  
41.88325414  27.79221012  86.68000000  39.47234569  115.62519041  86.68000000  
41.66330911  27.64347913  86.69000000  39.47234432  115.62518788  86.69000000  
41.43821992  27.49593675  86.69000000  39.47234296  115.62518529  86.69000000  
41.20877903  27.34513040  86.69000000  39.47234157  115.62518265  86.69000000  
40.99672797  27.20627009  86.68000000  39.47234029  115.62518021  86.68000000  
40.76193973  27.04333401  86.68000000  39.47233879  115.62517751  86.68000000  
40.57400753  26.90632597  86.68000000  39.47233753  115.62517535  86.68000000  
40.32884633  26.74021779  86.69000000  39.47233600  115.62517253  86.69000000  
40.10035024  26.59494767  86.69000000  39.47233466  115.62516990  86.69000000  
39.83960419  26.42241656  86.69000000  39.47233307  115.62516690  86.69000000  
39.61083716  26.25938864  86.69000000  39.47233157  115.62516427  86.69000000  
39.36295991  26.08444097  86.71000000  39.47232996  115.62516142  86.71000000  
39.13861228  25.92911649  86.72000000  39.47232853  115.62515884  86.72000000  
38.91768842  25.77262966  86.72000000  39.47232709  115.62515630  86.72000000  
38.66991274  25.60434118  86.73000000  39.47232554  115.62515345  86.73000000  
38.44738704  25.45564965  86.74000000  39.47232417  115.62515089  86.74000000  
38.22403502  25.30919098  86.75000000  39.47232282  115.62514832  86.75000000  
37.97460668  25.14536822  86.75000000  39.47232131  115.62514545  86.75000000  
37.75289033  24.99333400  86.75000000  39.47231991  115.62514290  86.75000000  
37.51108506  24.82162410  86.76000000  39.47231833  115.62514012  86.76000000  
37.26843652  24.65103719  86.75000000  39.47231676  115.62513733  86.75000000  
37.07195321  24.51749007  86.75000000  39.47231553  115.62513507  86.75000000  
36.82163078  24.35146074  86.74000000  39.47231400  115.62513219  86.74000000  
36.59473638  24.19839543  86.73000000  39.47231259  115.62512958  86.73000000  
36.36779116  24.04200054  86.73000000  39.47231115  115.62512697  86.73000000  
36.11306620  23.86937768  86.73000000  39.47230956  115.62512404  86.73000000  
35.90794719  23.73374210  86.74000000  39.47230831  115.62512168  86.74000000  
35.65232816  23.55891265  86.74000000  39.47230670  115.62511874  86.74000000  
35.42280237  23.40255716  86.75000000  39.47230526  115.62511610  86.75000000  
35.16811124  23.23215406  86.75000000  39.47230369  115.62511317  86.75000000  
34.94197535  23.07241650  86.74000000  39.47230222  115.62511057  86.74000000  
34.69489033  22.89301639  86.75000000  39.47230057  115.62510773  86.75000000  
34.46887296  22.74104788  86.75000000  39.47229917  115.62510513  86.75000000  
34.21856734  22.57612850  86.74000000  39.47229765  115.62510225  86.74000000  
34.00103321  22.41625972  86.75000000  39.47229618  115.62509975  86.75000000  
33.75585478  22.24904189  86.75000000  39.47229464  115.62509693  86.75000000  
33.53248564  22.10147348  86.75000000  39.47229328  115.62509436  86.75000000  
33.30655289  21.95505432  86.75000000  39.47229193  115.62509176  86.75000000  
33.05709047  21.78901199  86.75000000  39.47229040  115.62508889  86.75000000  
32.86473857  21.64430072  86.75000000  39.47228907  115.62508668  86.75000000  
32.62035254  21.47263034  86.76000000  39.47228749  115.62508387  86.76000000  
32.39861905  21.31948640  86.76000000  39.47228608  115.62508132  86.76000000  
32.14654218  21.15126375  86.76000000  39.47228453  115.62507842  86.76000000  
31.91791030  20.99711496  86.76000000  39.47228311  115.62507579  86.76000000  
31.65891811  20.82677759  86.75000000  39.47228154  115.62507281  86.75000000  
31.42843037  20.66377616  86.75000000  39.47228004  115.62507016  86.75000000  
31.16587890  20.48572227  86.75000000  39.47227840  115.62506714  86.75000000  
30.92506898  20.32287835  86.75000000  39.47227690  115.62506437  86.75000000  
30.68078447  20.15786721  86.74000000  39.47227538  115.62506156  86.74000000  
30.40347444  19.97115756  86.74000000  39.47227366  115.62505837  86.74000000  
30.15217299  19.79737253  86.74000000  39.47227206  115.62505548  86.74000000  
29.89481640  19.62145966  86.75000000  39.47227044  115.62505252  86.75000000  
29.72007441  19.50312267  86.75000000  39.47226935  115.62505051  86.75000000  
29.48537037  19.34573624  86.76000000  39.47226790  115.62504781  86.76000000  
29.19073814  19.15152008  86.76000000  39.47226611  115.62504442  86.76000000  
28.89598735  18.94953490  86.76000000  39.47226425  115.62504103  86.76000000  
28.71606731  18.83016682  86.77000000  39.47226315  115.62503896  86.77000000  
28.47785477  18.66839347  86.77000000  39.47226166  115.62503622  86.77000000  
28.20745993  18.48379862  86.78000000  39.47225996  115.62503311  86.78000000  
28.02661196  18.36000423  86.78000000  39.47225882  115.62503103  86.78000000  
27.78065777  18.19834902  86.78000000  39.47225733  115.62502820  86.78000000  
27.47214402  17.99657389  86.78000000  39.47225547  115.62502465  86.78000000  
27.19399058  17.81098733  86.78000000  39.47225376  115.62502145  86.78000000  
26.91829913  17.61759238  86.79000000  39.47225198  115.62501828  86.79000000  
26.73313327  17.49275378  86.80000000  39.47225083  115.62501615  86.80000000  
26.48449688  17.32447881  86.81000000  39.47224928  115.62501329  86.81000000  
26.20033907  17.14009403  86.81000000  39.47224758  115.62501002  86.81000000  
26.01083842  17.01310135  86.81000000  39.47224641  115.62500784  86.81000000  
25.75958759  16.84264605  86.81000000  39.47224484  115.62500495  86.81000000  
25.47789173  16.65045288  86.81000000  39.47224307  115.62500171  86.81000000  
25.19366613  16.46162869  86.81000000  39.47224133  115.62499844  86.81000000  
24.87896163  16.24884690  86.82000000  39.47223937  115.62499482  86.82000000  
24.59563005  16.06222933  86.82000000  39.47223765  115.62499156  86.82000000  
24.31568837  15.87222967  86.83000000  39.47223590  115.62498834  86.83000000  
24.12966226  15.74740427  86.84000000  39.47223475  115.62498620  86.84000000  
23.88186899  15.57800639  86.85000000  39.47223319  115.62498335  86.85000000  
23.56554568  15.37191008  86.85000000  39.47223129  115.62497971  86.85000000  
23.28729044  15.17966449  86.85000000  39.47222952  115.62497651  86.85000000  
22.98122151  14.96897125  86.85000000  39.47222758  115.62497299  86.85000000  
22.70301705  14.78005527  86.84000000  39.47222584  115.62496979  86.84000000  
22.39094376  14.57056380  86.84000000  39.47222391  115.62496620  86.84000000  
22.07628992  14.36111171  86.83000000  39.47222198  115.62496258  86.83000000  
21.88422553  14.23526837  86.83000000  39.47222082  115.62496037  86.83000000  
21.62862280  14.06154924  86.82000000  39.47221922  115.62495743  86.82000000  
21.37209214  13.88340379  86.82000000  39.47221758  115.62495448  86.82000000  
21.05037050  13.66184826  86.82000000  39.47221554  115.62495078  86.82000000  
20.85478068  13.53050813  86.83000000  39.47221433  115.62494853  86.83000000  
20.58880493  13.35361695  86.83000000  39.47221270  115.62494547  86.83000000  
20.29051136  13.14502541  86.83000000  39.47221078  115.62494204  86.83000000  
20.12354457  13.02879024  86.84000000  39.47220971  115.62494012  86.84000000  
19.95912444  12.91029596  86.84000000  39.47220862  115.62493823  86.84000000  
19.79133133  12.79629364  86.84000000  39.47220757  115.62493630  86.84000000  
19.62100849  12.68566029  86.84000000  39.47220655  115.62493434  86.84000000  
19.45235519  12.57167110  86.85000000  39.47220550  115.62493240  86.85000000  
19.18275236  12.38262398  86.85000000  39.47220376  115.62492930  86.85000000  
19.01315418  12.26309861  86.85000000  39.47220266  115.62492735  86.85000000  
18.84274663  12.14691596  86.85000000  39.47220159  115.62492539  86.85000000  
18.66893223  12.03300555  86.85000000  39.47220054  115.62492339  86.85000000  
18.49594413  11.91686229  86.85000000  39.47219947  115.62492140  86.85000000  
18.22030305  11.72679722  86.85000000  39.47219772  115.62491823  86.85000000  
17.90897114  11.50952375  86.85000000  39.47219572  115.62491465  86.85000000  
17.73758483  11.38558521  86.86000000  39.47219458  115.62491268  86.86000000  
17.56449508  11.26278279  86.86000000  39.47219345  115.62491069  86.86000000  
17.24970548  11.04445200  86.87000000  39.47219144  115.62490707  86.87000000  
17.07236562  10.92504481  86.87000000  39.47219034  115.62490503  86.87000000  
16.89586900  10.80451463  86.87000000  39.47218923  115.62490300  86.87000000  
16.61238460  10.60790858  86.87000000  39.47218742  115.62489974  86.87000000  
16.43246417  10.48854078  86.87000000  39.47218632  115.62489767  86.87000000  
16.25423024  10.36692701  86.87000000  39.47218520  115.62489562  86.87000000  
16.07597936  10.24420338  86.87000000  39.47218407  115.62489357  86.87000000  
15.89855478  10.11924690  86.88000000  39.47218292  115.62489153  86.88000000  
15.61417627  9.92043428  86.88000000  39.47218109  115.62488826  86.88000000  
15.29159412  9.69889211  86.89000000  39.47217905  115.62488455  86.89000000  
15.11160591  9.57508489  86.88000000  39.47217791  115.62488248  86.88000000  
14.93072365  9.44907108  86.88000000  39.47217675  115.62488040  86.88000000  
14.60470073  9.22758144  86.88000000  39.47217471  115.62487665  86.88000000  
14.42471250  9.10377423  86.88000000  39.47217357  115.62487458  86.88000000  
14.24639382  8.97661119  86.89000000  39.47217240  115.62487253  86.89000000  
13.92539646  8.74616392  86.90000000  39.47217028  115.62486884  86.90000000  
13.74370478  8.62349285  86.91000000  39.47216915  115.62486675  86.91000000  
13.56030967  8.50195790  86.91000000  39.47216803  115.62486464  86.91000000  
13.26904959  8.30325037  86.91000000  39.47216620  115.62486129  86.91000000  
13.08899357  8.17500375  86.91000000  39.47216502  115.62485922  86.91000000  
12.90978079  8.04563414  86.91000000  39.47216383  115.62485716  86.91000000  
12.72888151  7.91851051  86.91000000  39.47216266  115.62485508  86.91000000  
12.39857450  7.69819646  86.91000000  39.47216063  115.62485128  86.91000000  
12.21517935  7.57666154  86.91000000  39.47215951  115.62484917  86.91000000  
12.03259356  7.45178391  86.91000000  39.47215836  115.62484707  86.91000000  
11.70813841  7.22027937  86.92000000  39.47215623  115.62484334  86.92000000  
11.52722216  7.09204590  86.92000000  39.47215505  115.62484126  86.92000000  
11.34463635  6.96716829  86.92000000  39.47215390  115.62483916  86.92000000  
11.04910912  6.77074621  86.92000000  39.47215209  115.62483576  86.92000000  
10.86483681  6.64811458  86.92000000  39.47215096  115.62483364  86.92000000  
10.67968737  6.52438622  86.92000000  39.47214982  115.62483151  86.92000000  
10.49710153  6.39950863  86.92000000  39.47214867  115.62482941  86.92000000  
10.20575661  6.19525190  86.93000000  39.47214679  115.62482606  86.93000000  
10.02231057  6.07038744  86.93000000  39.47214564  115.62482395  86.93000000  
9.83886453  5.94552299  86.94000000  39.47214449  115.62482184  86.94000000  
9.65374893  5.82401438  86.94000000  39.47214337  115.62481971  86.94000000  
9.35739532  5.62982521  86.94000000  39.47214158  115.62481630  86.94000000  
9.17391538  5.50274105  86.94000000  39.47214041  115.62481419  86.94000000  
8.99293129  5.37006819  86.94000000  39.47213919  115.62481211  86.94000000  
8.81280738  5.23738221  86.94000000  39.47213797  115.62481004  86.94000000  
8.51974201  5.03315180  86.95000000  39.47213609  115.62480667  86.95000000  
8.15371000  4.78340984  86.97000000  39.47213379  115.62480246  86.97000000  
7.97024696  4.65743556  86.97000000  39.47213263  115.62480035  86.97000000  
7.78845347  4.52810545  86.97000000  39.47213144  115.62479826  86.97000000  
7.60750321  4.39765235  86.97000000  39.47213024  115.62479618  86.97000000  
7.42572664  4.26943211  86.97000000  39.47212906  115.62479409  86.97000000  
7.24226357  4.14345785  86.97000000  39.47212790  115.62479198  86.97000000  
6.94843956  3.94589980  86.97000000  39.47212608  115.62478860  86.97000000  
